post_title,listing_category,_phone,_email,_address,_website,_instagram,_facebook,_gallery,post_content
"Hotel Rex – 1 estrella","Hoteles","2604014779","","","","https://www.instagram.com/hotel_rex2024/","","https://sanrafaelturismo.gov.ar/wp-content/uploads/2025/08/Captura-1.jpg","Hotel Rex – 1 estrella en San Rafael. Ver más: https://sanrafaelturismo.gov.ar/2025/08/24/hotel-rex-1-estrella/"
"Suter Petit Hotel – Las Paredes","Hoteles","154808681","","","http://www.suterhotel.com.ar/","https://www.instagram.com/suter.petit.hotel/?hl=es","","https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/suter-hotel.jpg","Suter Petit Hotel – Las Paredes. Web: http://www.suterhotel.com.ar/"
"Nelumbo Petit Chalet – Las Paredes","Hoteles","","","","https://nelumbochalet.com.ar/","https://www.instagram.com/nelumbochalet/?hl=es","","https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/03/nelumbo.jpg","Nelumbo Petit Chalet – Las Paredes. Web oficial: https://nelumbochalet.com.ar/"
"Mendosur S.A.","Agencias de Viaje","","","","http://www.mendosur.com.ar/","","","https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/02/mendosur.jpg","Agencia de viajes Mendosur S.A. Más info: https://sanrafaelturismo.gov.ar/2022/02/24/mendosur/"
"MALUFA E.V.T. – Excursiones Locales","Agencias de Viaje","","","","http://www.malufaviajes.com.ar/","https://www.instagram.com/malufaviajes/","","https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/02/malufa.jpg","MALUFA E.V.T. – Excursiones Locales. Web: http://www.malufaviajes.com.ar/"
"JOKER VIAJES E.V.T.- Excursiones Locales","Agencias de Viaje","","","","http://www.jokerviajes.com.ar/","https://www.instagram.com/jokerviajesevt/","","https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/02/joker.jpg","JOKER VIAJES E.V.T.- Excursiones Locales. Web: http://www.jokerviajes.com.ar/"
"DIAMANTE VIAJES E.V.T.","Agencias de Viaje","","","","http://www.diamanteviajes.tur.ar/","https://www.instagram.com/diamanteviajesok/?hl=es-la","https://www.facebook.com/diamanteviajes/","https://sanrafaelturismo.gov.ar/wp-content/uploads/2022/02/diamante.jpg","Excursiones Locales y Turismo Emisivo en San Rafael."
