pagina,id,nombre,categoria,ubicacion,url
5,14497,DANIELA DIAZ Osteopatia,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/daniela-diaz-osteopatia/
5,14505,PANADERIA LA IDEAL,confiterias-reposteria,confiteria,https://guiarsanrafael.com.ar/empresa/panaderia-la-ideal/
5,14535,JAM ROD Power Sport San Rafael,alquiler-de-bicicletas,alquiler-de-bicicletas,https://guiarsanrafael.com.ar/empresa/jam-rod-power-sport-san-rafael/
5,14553,SOLEDAD ZINGARETTI,veterinarias-veterinarios,veterinarias,https://guiarsanrafael.com.ar/empresa/soledad-zingaretti/
5,14558,HOJA Espacios Vivos,decoracion,decoracion,https://guiarsanrafael.com.ar/empresa/hojas-espacios-vivos/
5,14574,YUMA FELIX,traumatologia-y-ortopedia,traumatologia,https://guiarsanrafael.com.ar/empresa/yuma-felix/
6,14340,JERIMIAS MONTOYA,kinesiologia-y-fisioterapia,kinesiologia-y-fisioterapia,https://guiarsanrafael.com.ar/empresa/jerimias-montoya/
6,14341,AIRE Atención Respiratoria Integral,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/aire-atencion-respiratoria-integral/
6,14342,NICOLAS ROLAN,neumonologia,neumonologia,https://guiarsanrafael.com.ar/empresa/nicolas-rolan/
6,14345,NATALIA GUERRERO,neumonologia,neumonologia,https://guiarsanrafael.com.ar/empresa/natalia-guerrero/
6,14365,GOMERIA LOS NIETOS,gomerias-neumaticos-gomas-cubiertas,gomeria,https://guiarsanrafael.com.ar/empresa/gomeria-los-nietos/
6,14382,JAMON y QUESO Fiambrería,fiambrerias,fiamfreria,https://guiarsanrafael.com.ar/empresa/jamon-y-queso-fiambreria/
6,14396,IGNASIO PLUCHINO,implantes,implantes,https://guiarsanrafael.com.ar/empresa/ignasio-pluchino/
6,14405,LORENA TELESCA,odontologia,odontologia,https://guiarsanrafael.com.ar/empresa/lorena-telesca/
6,14409,CARNICERIA EL AVE FENIX,carnicerias,carniceria,https://guiarsanrafael.com.ar/empresa/carniceria-el-ave-fenix/
6,14420,JUAN CRESPO,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/juan-crespo/
7,14145,EMA Frutas y Verduras,verdulerias,verdulerias,https://guiarsanrafael.com.ar/empresa/ema-frutas-y-verduras/
7,14147,EMA 2 Frutas y Verduras,verdulerias,verdulerias,https://guiarsanrafael.com.ar/empresa/ema-2-frutas-y-verduras/
7,14164,REGIONAL MARKET San Rafael,cosmetica-cosmetologia-cosmetologa-cosmiatra,cosmetica-perfumeria,https://guiarsanrafael.com.ar/empresa/regional-market-san-rafael/
7,14177,ENTRE DOS Alfajores Premiun,chocolateria,chocolateria,https://guiarsanrafael.com.ar/empresa/entre-dos-alfajores-premiun/
7,14208,DT ANDRES TAVARES Mecánica,inyeccion-electronica,inyeccion-electronica,https://guiarsanrafael.com.ar/empresa/dt-andres-tavares-mecanica/
7,14220,INFORMATICA Servicios,impresoras,impresoras,https://guiarsanrafael.com.ar/empresa/informatica-servicios/
7,14231,CARNICERIA RIVADAVIA,carnicerias,carniceria,https://guiarsanrafael.com.ar/empresa/carniceria-rivadavia/
7,14323,FERRETERIA LAS CHICAS,ferreterias-herramientas,ferreterias,https://guiarsanrafael.com.ar/empresa/ferreteria-las-chicas/
7,14336,FEAT & KI Instituto Terapéutico,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/featyki-instituto-terapeutico/
7,14344,MARIELA RICCIARDELLI,kinesiologia-y-fisioterapia,kinesiologia-y-fisioterapia,https://guiarsanrafael.com.ar/empresa/mariela-ricciardelli/
8,13999,FLORES SUHÉ,florerias-jardineria,florerias,https://guiarsanrafael.com.ar/empresa/flores-suhe/
8,14011,BO Estudio Creativo,arquitetos-arquitectura-estudios-tecnicos-arquitecta,arquitectos,https://guiarsanrafael.com.ar/empresa/bo-estudio-creativo/
